sch_name,sch_desc,sch_addr,sch_email,sch_logo,sch_eoi,sch_decile,sch_homepage,sch_district,sch_region
Ahuroa School,Full Primary,"1349 Ahuroa Road , Ahuroa",office@ahuroa.school.nz,http://ahuroa.school.nz/Ahuroa_School/index.html.html/apple-touch-icon.png,455,,http://ahuroa.school.nz/Ahuroa_School/index.html.html,Rodney Local Board Area,Rural Auckland
Alfriston School,Full Primary,"1373 Alfriston Road , Manurewa, Auckland",admin@alfriston.school.nz,http://www.alfriston.school.nz/apple-touch-icon.png,396,,http://www.alfriston.school.nz,Franklin Local Board Area,Rural Auckland
Ararimu School,Full Primary,"7 Steel Road , Drury",office@ararimu.school.nz,http://www.ararimu.school.nz/apple-touch-icon.png,400,,http://www.ararimu.school.nz,Franklin Local Board Area,Rural Auckland
Ardmore School,Full Primary,"Clevedon Road , Papakura",office@ardmore.school.nz,http://www.ardmore.school.nz/apple-touch-icon.png,415,,http://www.ardmore.school.nz,Franklin Local Board Area,Rural Auckland
Awhitu District School,Full Primary,"14 Matakawau Road , Matakawau, Waiuku",admin@awhitu.school.nz,http://www.awhitu.school.nz/apple-touch-icon.png,472,,http://www.awhitu.school.nz,Franklin Local Board Area,Rural Auckland
Bailey Road School,Full Primary,"19 Bailey Road , Mount Wellington, Auckland",office@baileyroad.school.nz,http://www.baileyroad.school.nz/apple-touch-icon.png,488,,http://www.baileyroad.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland
Balmoral School (Auckland),Full Primary,"19 Brixton Road , Mount Eden, Auckland",office@balmoral.school.nz,http://www.balmoral.school.nz/apple-touch-icon.png,366,,http://www.balmoral.school.nz/,Albert-Eden Local Board Area,Central Auckland
Balmoral S D A School,Full Primary,"10 Wiremu Street , Balmoral, Auckland",office@balmoralsda.school.nz,http://www.balmoralsda.school.nz/apple-touch-icon.png,441,,http://www.balmoralsda.school.nz,Albert-Eden Local Board Area,Central Auckland
Beachlands School,Full Primary,"18 Bell Road , Beachlands, Auckland",info@beachlands.school.nz,http://www.beachlands.school.nz/apple-touch-icon.png,395,,http://www.beachlands.school.nz,Franklin Local Board Area,Rural Auckland
Birdwood School,Full Primary,"Karepo Crescent , Ranui, Auckland",admin@birdwood.school.nz,http://www.birdwood.school.nz/apple-touch-icon.png,522,,http://www.birdwood.school.nz,Henderson-Massey Local Board Area,West Auckland
