sch_name,sch_desc,sch_addr,sch_email,sch_logo,sch_eoi,sch_decile,sch_homepage,sch_district,sch_region,offers_study_tour,matched_keyword,checked_url,http_status,error
Ahuroa School,Full Primary,"1349 Ahuroa Road , Ahuroa",office@ahuroa.school.nz,http://ahuroa.school.nz/Ahuroa_School/index.html.html/apple-touch-icon.png,455,,http://ahuroa.school.nz/Ahuroa_School/index.html.html,Rodney Local Board Area,Rural Auckland,yes,visitor,http://ahuroa.school.nz/Ahuroa_School/index.html.html,404,
Alfriston School,Full Primary,"1373 Alfriston Road , Manurewa, Auckland",admin@alfriston.school.nz,http://www.alfriston.school.nz/apple-touch-icon.png,396,,http://www.alfriston.school.nz,Franklin Local Board Area,Rural Auckland,yes,international students,http://www.alfriston.school.nz/international,200,
Ararimu School,Full Primary,"7 Steel Road , Drury",office@ararimu.school.nz,http://www.ararimu.school.nz/apple-touch-icon.png,400,,http://www.ararimu.school.nz,Franklin Local Board Area,Rural Auckland,yes,visitor,http://www.ararimu.school.nz,200,
Ardmore School,Full Primary,"Clevedon Road , Papakura",office@ardmore.school.nz,http://www.ardmore.school.nz/apple-touch-icon.png,415,,http://www.ardmore.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.ardmore.school.nz,200,
Awhitu District School,Full Primary,"14 Matakawau Road , Matakawau, Waiuku",admin@awhitu.school.nz,http://www.awhitu.school.nz/apple-touch-icon.png,472,,http://www.awhitu.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.awhitu.school.nz,200,
Bailey Road School,Full Primary,"19 Bailey Road , Mount Wellington, Auckland",office@baileyroad.school.nz,http://www.baileyroad.school.nz/apple-touch-icon.png,488,,http://www.baileyroad.school.nz,Maungakiekie-Tāmaki Local Board Area,East Auckland,yes,visitor,http://www.baileyroad.school.nz,200,
Balmoral School (Auckland),Full Primary,"19 Brixton Road , Mount Eden, Auckland",office@balmoral.school.nz,http://www.balmoral.school.nz/apple-touch-icon.png,366,,http://www.balmoral.school.nz/,Albert-Eden Local Board Area,Central Auckland,yes,visitor,http://www.balmoral.school.nz/,200,
Balmoral S D A School,Full Primary,"10 Wiremu Street , Balmoral, Auckland",office@balmoralsda.school.nz,http://www.balmoralsda.school.nz/apple-touch-icon.png,441,,http://www.balmoralsda.school.nz,Albert-Eden Local Board Area,Central Auckland,yes,international students,http://www.balmoralsda.school.nz,200,
Beachlands School,Full Primary,"18 Bell Road , Beachlands, Auckland",info@beachlands.school.nz,http://www.beachlands.school.nz/apple-touch-icon.png,395,,http://www.beachlands.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.beachlands.school.nz,200,
Birdwood School,Full Primary,"Karepo Crescent , Ranui, Auckland",admin@birdwood.school.nz,http://www.birdwood.school.nz/apple-touch-icon.png,522,,http://www.birdwood.school.nz,Henderson-Massey Local Board Area,West Auckland,no,,http://www.birdwood.school.nz,200,
Bombay School,Full Primary,"35 Paparata Road , Bombay",admin@bombay.school.nz,http://www.bombay.school.nz/apple-touch-icon.png,407,,http://www.bombay.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.bombay.school.nz,200,
Brookby School,Full Primary,"359 Brookby Road , Manurewa, Auckland",office@brookby.school.nz,http://www.brookby.school.nz/apple-touch-icon.png,417,,http://www.brookby.school.nz,Franklin Local Board Area,Rural Auckland,no,,http://www.brookby.school.nz,200,
